code_postal,ville,nb_immeubles_cibles,total_lots_cibles,score_moyen_cibles
73150,VAL-D'ISČRE,12,498,0.69
78500,SARTROUVILLE,33,496,0.7
93210,SAINT-DENIS,9,496,0.68
44420,LA TURBALLE,21,496,0.69
34970,LATTES,8,495,0.66
78120,RAMBOUILLET,12,495,0.72
74430,SAINT-JEAN-D'AULPS,4,494,0.72
78570,ANDRÉSY,8,493,0.79
54500,VANDŚUVRE-LČS-NANCY,16,492,0.67
38180,SEYSSINS,4,491,0.7
49300,CHOLET,23,491,0.71
57500,SAINT-AVOLD,23,491,0.69
78955,CARRIČRES-SOUS-POISSY,14,490,0.78
91350,GRIGNY,4,489,0.68
95880,ENGHIEN-LES-BAINS,17,489,0.7
93120,LA COURNEUVE,17,485,0.7
10120,SAINT-ANDRÉ-LES-VERGERS,7,484,0.65
74940,ANNECY-LE-VIEUX,9,483,0.62
30700,UZČS,8,480,0.81
25200,MONTBÉLIARD,25,479,0.7
59123,BRAY-DUNES,15,479,0.7
67210,OBERNAI,20,479,0.71
94420,LE PLESSIS-TRÉVISE,9,478,0.72
31320,CASTANET-TOLOSAN,13,476,0.7
61000,ALENÇON,17,476,0.73
97139,LES ABYMES,4,475,0.7
59400,CAMBRAI,13,475,0.71
78711,MANTES-LA-VILLE,9,469,0.77
65110,CAUTERETS,13,468,0.71
95150,TAVERNY,18,468,0.68
17110,SAINT-GEORGES-DE-DIDONNE,19,466,0.75
33150,CENON,10,466,0.72
54600,VILLERS-LČS-NANCY,10,466,0.72
54130,SAINT-MAX,9,465,0.63
35500,VITRÉ,16,465,0.75
88000,ÉPINAL,29,463,0.66
6270,VILLENEUVE-LOUBET,2,462,0.61
84200,CARPENTRAS,22,461,0.67
33270,FLOIRAC,12,458,0.7
77210,AVON,11,458,0.72
62400,BÉTHUNE,17,457,0.71
74260,LES GETS,24,457,0.71
94260,FRESNES,12,456,0.7
77600,BUSSY-SAINT-GEORGES,5,456,0.63
94310,ORLY,4,455,0.67
57600,FORBACH,22,454,0.71
93380,PIERREFITTE-SUR-SEINE,10,453,0.72
11210,PORT-LA-NOUVELLE,10,453,0.72
69330,MEYZIEU,11,450,0.71
22100,DINAN,16,449,0.7
4100,MANOSQUE,12,449,0.75
