code_postal,ville,adresse,lat,long,lots_habitation,score_immeuble
74390,Châtel,108 rte de pre la joux 74390 Châtel,46.256121,6.824581,28,0.64
87000,Limoges,40 bd gambetta 87000 Limoges,45.828121,1.257101,28,0.79
92140,Clamart,110 av jean jaures 92140 Clamart,48.80653,2.26766,28,0.68
42300,Roanne,24 place du Maréchal de Lattre de Tassigny 42300 Roanne,46.040264,4.071054,28,0.54
40230,BENESSE MAREMNE,"SDC LE LAURENTZ A, ALLEE D'AOUCE 40230 BENESSE MAREMNE",43.635367,-1.362732,28,0.64
38130,Échirolles,1 all pain-loup 38130 Échirolles,45.142187,5.720027,28,0.82
75011,Paris,73 r sedaine 75011 Paris,48.858185,2.377349,28,0.5
13004,Marseille,11 r de la visitation 13004 Marseille,43.301317,5.402824,28,0.5
14810,MERVILLE-FRANCEVILLE-PLAGE,39 Avenue de Versailles 14810 MERVILLE-FRANCEVILLE-PLAGE,49.284728,-0.203279,28,0.64
75009,PARIS,27 r de bellefond 75009 PARIS,48.877866,2.346607,28,0.5
29940,LA FORET FOUESNANT,CLOS DE MENEZ PLAINE 29940 LA FORET FOUESNANT,47.916957,-3.977143,28,0.5
69680,Chassieu,74B rte de lyon 69680 Chassieu,45.737952,4.966762,28,0.86
93410,VAUJOURS,50 av du general de gaulle 93410 VAUJOURS,48.939743,2.57087,28,0.86
68200,MULHOUSE,10 Place Franklin 68200 Mulhouse,47.751373,7.334112,28,0.89
74110,Morzine,296 taille de mas des champs de la plagne 74110 Morzine,46.182879,6.698345,28,0.54
30100,ALES,10 Boulevard Anatole France 30100 Alès,44.126678,4.085526,28,0.79
77124,Villenoy,21 r sadi carnot 77124 Villenoy,48.952995,2.868845,28,0.82
76310,Sainte-Adresse,1 r reine elisabeth 76310 Sainte-Adresse,49.502978,0.086562,28,0.5
75020,Paris,37 r de buzenval 75020 Paris,48.851046,2.401638,28,0.5
60260,LAMORLAYE,14 r louis barthou 60260 LAMORLAYE,49.156437,2.440945,28,0.57
73350,CHAMPAGNY EN VANOISE,108 Rue des Hauts du Crey 73350 Champagny-en-Vanoise,45.456254,6.69556,28,0.82
83000,TOULON,"r michel bonnus, 83000 Toulon",43.138636,5.888784,28,0.57
94800,Villejuif,6 r eugene varlin 94800 Villejuif,48.794229,2.363006,28,0.57
74200,Thonon-les-Bains,27 Avenue d’Evian 74200 Thonon-les-Bains,46.376151,6.486038,28,0.57
69005,Lyon,32 av du point du jour 69005 Lyon,45.756351,4.803554,28,0.89
13300,SALON DE PROVENCE,CHEMIN DU TOURET 13300 SALON DE PROVENCE,43.650854,5.092837,28,0.71
74130,FAUCIGNY,CHEZ FAVRE 74130 FAUCIGNY,46.120879,6.359927,28,0.82
44100,NANTES,98 Boulevard de la Fraternité 44100 Nantes,47.219525,-1.586818,28,0.57
18000,Bourges,4 r jean francois deniau 18000 Bourges,47.082084,2.395215,28,0.54
20248,Rogliano,100 marina 20248 Rogliano,42.960088,9.452312,28,0.54
13700,Marignane,31 av du marechal juin 13700 Marignane,43.41932,5.222611,28,0.71
57070,Metz,31 av de strasbourg 57070 Metz,49.112413,6.195389,28,0.5
64200,Biarritz,6 res clos saint-michel 64200 Biarritz,43.471037,-1.554444,28,0.68
35700,Rennes,1 r edmond rostand 35700 Rennes,48.120597,-1.664412,28,0.5
93230,ROMAINVILLE,31 Avenue Paul Vaillant - Couturier 93230 Romainville,48.884933,2.43342,28,0.68
91770,Saint-Vrain,8 r des noblets 91770 Saint-Vrain,48.541144,2.333887,28,0.79
40140,Soustons,13 av de huningue 40140 Soustons,43.752213,-1.330672,28,0.82
49100,Angers,24 bd du marechal foch 49100 Angers,47.468893,-0.550045,28,0.5
34080,montpellier,12-16 all de paris 34080 montpellier,43.611403,3.833281,28,0.64
95130,Franconville,202 r du general leclerc 95130 Franconville,48.98676,2.220036,28,0.71
78500,Sartrouville,202 av de la republique 78500 Sartrouville,48.931961,2.147618,28,0.5
20166,GROSSETO PRUGNA,20166 Porticcio,41.898082,8.810148,28,0.82
92800,Puteaux,43 r marius jacotot 92800 Puteaux,48.88466,2.242008,28,0.89
77360,VAIRES SUR MARNE,2 av du general leclerc 77360 VAIRES SUR MARNE,48.876927,2.637284,28,0.71
26300,Bourg-de-Péage,12/18 gr jean jaures 26300 Bourg-de-Péage,45.040352,5.048362,28,0.61
81100,Castres,55/57 r theron perie 81100 Castres,43.610405,2.246687,28,0.71
49500,Segré-en-Anjou Bleu,6 r gustave richard 49500 Segré-en-Anjou Bleu,47.679512,-0.869873,28,0.57
37700,Saint-Pierre-des-Corps,40 av de la republique 37700 Saint-Pierre-des-Corps,47.389687,0.719758,28,0.64
68100,Mulhouse,24 bd de l'europe 68100 Mulhouse,47.751517,7.344281,28,0.75
