nom_syndic,nb_immeubles_cibles,total_places_parking
FRANCE GESTION IMMOBILIERE ,2,132
FRANCE SUD IMMOBILIER SYNDIC ,2,124
FRANCOIS QUERREC IMMOBILIER ,2,148
#MARTINIQUESYNDIC ,1,40
VSA IMMOBILIER ,1,39
WALCH ,1,41
CENTRE INFORMATION DU BATIMENT ,1,10
AAZ GESTION IMMOBILIERE ,1,9
ABCI SARL ,1,13
CITYA IMMOBILIER VICHY ,1,96
CITYA LE CANNET ,1,20
CARRERE IMMOBILIER MEDITERRANEE ,1,18
CATTET ,1,54
CBS IMMO ,1,19
A.G. ,1,12
ATOUT IMMO ,1,32
LACROIX IMMOBILIER ,1,85
TFI ,1,7
THA*PHILIPPE JEAN-MARIE MICHEL/ ,1,14
ACTIM CARCENAC ,1,23
CABINET YANN FAURE ,1,21
CAGEPA SXM ,1,77
CAGEST CONSEIL ,1,17
CAHORS IMMOBILIER GESTION ,1,26
CAP OUEST IMMOBILIER ,1,69
AVIVRIMMO ,1,14
AZ FONCIER ,1,32
L'ADMINISTRATEUR ,1,23
L'AGENCE SYNDIC EMMANUELLI ,1,38
L'APOGEE ,1,35
L'AVENIR GESTION IMMOBILIERE ,1,103
L'IMMOBILIERE 2M ,1,8
CITYA PAYS DE L'AIN ,1,45
LIBERTY HOME ,1,8
LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LILLE ,1,68
LIONCEAU IMMOBILIER ,1,18
LOC UP ,1,8
LOCATRIM CASSIS ,1,76
LOFT ONE ,1,44
LOGENCY ,1,21
APPIA IMMOBILIER ,1,64
FONCIA LIMOUZY ,1,57
AGENCE ID NOUVELLE GESTION ,1,25
CABINET CLAEYS ,1,48
FRANCOISE COMBES IMMOBILIER ,1,31
FURGE MULHAUSER-MSG ,1,12
G.I.J. GROUPE IMMOBILIER JOUFFROY ,1,26
GAELLE CONSEILS IMMO ,1,129
GAM CONSEIL ,1,9
CABINET D'EXPERTISE FONCIERE IMMOBILIERE DE L'AIN ,1,66
CABINET DASSONVILLE ET FRON ,1,30
CABINET DAUDE ,1,32
CABINET DE FRANCE ,1,34
CABINET DE GESTION DALBERA ,1,97
CABINET DE GESTION IMMOBILIERE GRASSOIS ,1,42
CABINET DE GESTION IMMOBILIERE RENAULD ,1,243
CABINET DE L'ILE ,1,44
SA HELLIER DU VERNEUIL ,1,48
SAB IMMOBILIER ,1,12
AGENCE GIVERDON IMMOBILIER-AGI ,1,72
FONCIA BOLLING LE BATIMENT ,1,19
FONCIA COUPAT ,1,68
FONCIA INFO IMMOBILIER ,1,42
CABINET CRES ,1,44
CABINET D'EXPERTISE ET DE GESTION DE LA LOZERE ,1,7
ROCHE IMMO ,1,16
ROUQUET IMMOBILIER ,1,18
RS IMMOBILIER ,1,34
RS SYNDIC ,1,13
RUBENS IMMOBILIER ,1,61
RUE DE LA PAIX. IMMO GESTION ,1,72
S.G.I. ,1,49
SA COOPERATIVE PRODUCTION LOYER MODERE ,1,31
GESTION IMMOBILIERE J.TRUCCO ,1,11
GESTORIA ,1,201
AGENCE ROBERT ,1,27
AGENCE SENSEY ,1,33
AGENCE TURIN IMMOBILIER ,1,25
AGEVEDIM IMMOBILIER ,1,15
AGI ,1,17
REGENCE IMMOBILIER ,1,10
CABINET ESPARGILLIERE ,1,30
CABINET FABRICE SAULAIS ,1,18
CABINET FAUDAIS ,1,33
CABINET GEORGES COUDRE ,1,28
CABINET GESTION ST EUSTACHE ,1,22
SARL AGENCE ARAGO ,1,65
SARL AGENCE DELAS ,1,18
SARL BRUN IMMOBILIER ,1,18
AGENCE IMMOBILIERE DE HAUTE MAURIENNE ,1,51
AGENCE IMMOBILIERE JOLY ,1,28
SALANIE*SYLVAIN/ ,1,17
SALTO GESTION ,1,78
FINANCIAL PROJECT ,1,67
FNT IMMO ,1,144
CABINET DOLLEANS ,1,77
CABINET ESPACE PARTAGE ,1,183
REGIE FLANDIN ,1,14
REGIE GELAS ET CHOMIENNE ,1,27
REGIE LAFAYETTE ,1,20
REGIE LESTRA ,1,10
REGIE ROSIER ,1,127
AGENCE MADRIGAL ,1,12
REGIE TADARY ,1,31
AGENCE IMM ,1,42
FAIR PLAY IMMOBILIER ,1,17
FAY ET COMPAGNIE ,1,27
FD LAVERDET ,1,57
FD' IMMO ,1,25
AGENCE PATRIMONIALE DU LOIR-ET-CHER ,1,37
AGENCE POUR L'IMMOBILIER ,1,29
GILLIER*JEAN-FRANCOIS CLAUDE/ ,1,71
GIRARDI IMMOBILIER ,1,19
CABINET GRAILLAT SARL ,1,23
CABINET HAAS IMMOBILIER ,1,36
CABINET HUGON REDON ,1,38
CABINET ICARE ,1,14
CABINET IMMO 2M ,1,7
CABINET IMMOBILIER DE PROVENCE ,1,50
FA GESTIM ,1,12
FACOGE ,1,28
GERANCES IMMOBILIERES R. DELIOUX ,1,8
GESTION BATIMENTS ET PATRIMOINES ,1,41
CABINET ATHEOS ,1,108
SARL CABINET CLEMENCEAU ,1,17
SARL CABINET DE GESTION DRAGO ,1,26
SARL G.A.I.A. IMMOBILIER ,1,28
SARL GEREC ,1,17
SARL GROUPE FOCH ,1,131
REGIE BACHELET - SYNDIC DE COPROPRIETE ,1,36
REGIE BOCHARD SAS ,1,27
REGIE CONSEIL ,1,32
REGIE D'IMMEUBLES CHESNARD ,1,216
REGIE DE MONTFALCON ,1,36
GAUDEMARD*REMY GASTON YVES/ ,1,11
GDA ,1,12
GEDIRA ,1,17
PROGRESS'IMMO ,1,19
C.P.M. IMMOBILIER ,1,20
C.T.G IMMOBILIER ,1,9
C2B COTE SYNDIC ,1,16
C2IMM ,1,46
C2R - CROUIN - ROZEC - ROLAND SCP D'HUISSIERS DE JUSTICE ASSOCIES ,1,62
GRANIER IMMOBILIER ,1,19
GRI GESTION ET REALISATIONS IMMOBILIERES ,1,10
SARL MARLEN IMMO ,1,16
SARL MCI CONSULTING ,1,17
SARL MERLETTE RESIDENCES ,1,101
ESPACE SYNDIC 05 ,1,34
EURL G.V.I ,1,8
CABINET GOUTILLE ,1,9
PREMIUM PLUS IMMOBILIER ,1,56
PROCURA IMMOBILIER ,1,26
CABINET BAROND ,1,65
CABINET BECART GESTION ,1,20
GESTION IMMO CONFIANCE ,1,9
SARL GTHC ,1,26
SARL HABITER ,1,33
SARL J.A.M. ,1,10
SARL JECIMMO ,1,29
SARL MALAPEL HOUCHARD ,1,18
GLF LOICK FOUCHET ,1,47
GM GESTION ,1,91
GOLF & PATRIMOINE ,1,44
GONIN IMMOBILIER ,1,25
GOOVA ,1,18
GPE IMMOBILIER ,1,13
C & H ,1,34
C & L PATRIMOINE ,1,238
HOMIE ,1,12
PAYS BASQUE GESTION ,1,38
PERDRIX IMMOBILIER ,1,47
"PHILIPPE DAMBIER, PIERRE HOUZELOT,FABRICE GAUTHIER, HERVE DESQUEYROUX, ANTOINE MAGENDIE, EDOUARD BENTEJAC, OLIVIER LASSE ",1,40
PHILIPPE PONCET CONSEIL ,1,14
PIERRES DE BRETAGNE IMMOBILIER ,1,19
PIMELIYA ,1,6
PINATEL FRERES ,1,112
AGENCE DU PORT ,1,50
CABINET J & E NOAILLY ,1,61
CABINET JC DOR SARL ,1,121
CABINET JEAN JACQUES CHAMPION ,1,37
CABINET JH IMMOBILIER ,1,17
EISER*PHILIPPE/ ,1,12
ELORIAN ,1,6
HOME AND SPACE ,1,10
R.M.V.GESTION ,1,45
RAGANNE GESTION SARL ,1,11
SAS D&D RESCO ,1,74
SAS ESPACIL CONSTRUCTION ,1,61
SAS INVESTIR ,1,8
AGENCE DESGLAND NICOLAS IMMOBILIER ,1,11
AGENCE DU BASTION ,1,14
AGENCE DU CANNET ,1,102
GRIFFATON & CO ,1,20
GROUPE EUROPE FINANCE IMMOBILIER ,1,36
GROUPE FG ,1,12
GROUPE SYGELIA ,1,29
GROUPE THE NEW AGENCY DEVELOPPEMENT ,1,7
GTS IMMOBILIER ,1,41
GUILLESTRE IMMOBILIER ,1,16
PROVENCALE GESTION DEVELOPPEMENT IMMOBIL ,1,10
HOPITAUX FACULTES IMMOBILIER ,1,20
HOTTE*/PASCAL  / ,1,48
I.METRAL- A.BILBAULT- S.BROIN ,1,40
ORBIREAL ,1,99
ORIENTATION FONCIERE ET IMMOBILIERE ,1,32
PA INVEST IMMO ,1,12
PATRICIA PAUQUET IMMOBILIER ,1,39
PATRIMOINE OCCITAN SYNDIC ,1,17
SELARL ADJE ADMINISTRATEURS JUDICIAIRES ,1,16
E D GESTION ,1,39
EASIMMO F. PERGE ,1,50
ECUSSON IMMOBILIER ,1,23
CABINET IMMOBILIER DIFFUSION ,1,14
SELARL LEGRAND ET ANTONIOTTI ,1,25
BRUNO LINCK IMMOBILIER ,1,25
BS IMMO ,1,21
EQUINOX IMMOBILIER ,1,9
AGENCE FARGUE ,1,22
AGENCE GADD ,1,17
SASU MON PETIT SYNDIC ,1,37
SASU TONTON IMMO ,1,15
SCP CBF ASSOCIES ,1,105
SCP GERALDINE FERET ,1,137
SEINE ADB ,1,16
AJILINK VIGREUX ,1,26
AKELLIANCE ,1,69
AKSE IMMOBILIER SAS ,1,29
POIRAT*HERVE MICHEL/ ,1,39
POLGE ROUX SYNDIC ,1,24
POMPEL CONSEIL IMMOBILIER ,1,10
PONTOISE IMMOBILIER GESTION ET SERVICES ,1,37
EQUAN'IMM ,1,47
OPEN IMMO ,1,245
OPH (OFFICE PUBLIC DE L HABITAT BEZIERS MEDITERRANEE HABITAT ,1,19
OPH DE CHARTRES METROPOLE / CHARTRES METROPOLE HABITAT ,1,39
OPH DE VERSAILLES ,1,124
IF BOULOGNE ,1,12
ILEA IMMOBILIER ,1,75
ILLIMO ,1,17
IMMO DE FRANCE VALRIM SUD ,1,24
DOMIAL ,1,11
DPJS CONSEILS ,1,8
DPL IMMO ,1,24
AGENCE COTE ,1,47
AGENCE DAMEZ ,1,18
AGENCE DE BOUFFLERS ,1,35
ONYS'IMMO ,1,8
OPAC SAONE ET LOIRE OFFICE PUBLIC HABITAT ,1,55
SERIMM ,1,72
SIMARD*/ISABELLE  / ,1,15
AGENCE CASINCA IMMOBILIER ,1,16
CABINET LVS ,1,10
DIRECTIMO ,1,11
DIX MILLIEMES ,1,326
DM IMMOBILIER ,1,15
DOMA GESTION SYNDIC ,1,63
PATRIMONIAL VENDOME ,1,20
HB MICHAUT IMMOBILIER ,1,105
HEBERT IMMOBILIER ,1,17
HETR'IMMO ,1,24
SELECT IMMOBILIER ,1,13
SELEDEN ,1,16
SEON IMMOBILIER ,1,6
SEREINO GESTION ,1,58
OFFICE PUBLIC DE L HABITAT DE ROUEN ,1,37
OFFICE PUBLIC DE L HABITAT DU DEPARTEMENT DE SEINE-MARITIME ,1,76
OFFICE PUBLIC DE L'HABITAT 'CLAMART HABITAT' ,1,11
OFFICE PUBLIC DE L'HABITAT D'AMIENS METROPOLE - SYNDICAT MIXTE DE L'HABITAT EN SOMME ,1,16
ALMD ,1,32
ALPES INVEST ,1,24
ALPES SERVICES IMMOBILIERS ,1,7
ALSACE HABITAT ,1,25
DEPEIGE IMMOBILIER ,1,30
DERVAULT IMMOBILIER ,1,68
CABINET LE DANVIC ,1,12
IMMOBILIERE BRESLE NORMANDIE ,1,6
OA AGENCE ,1,104
OC INVESTISSEMENTS ,1,7
OFFICE AUXERROIS DE L'HABITAT - OPH DE LA COMMUNAUTE DE L'AUXERROIS ,1,24
OFFICE PUB AMENAGEMENT CONSTRUCTION ,1,22
AGENCE DE L AVENUE ,1,12
AGENCE DE LA TOUQUES ,1,6
SMARTSTONE ,1,26
SOC DAUPHINOISE POUR L HABITAT ,1,6
SOC ECONO MIXTE IMMOBI VILLE MARTIGUES ,1,98
SOC IMMOB LOGEMENT DE L'EURE SA HLM ,1,34
DAUCHEZ PROPERTY MANAGEMENT ,1,10
DEMEURES ET COLLECTIONS SYNDIC ,1,13
IMMO DEVELOPPEMENT REGIE ,1,25
BELLAJUAN OUEST IMMOBILIER ,1,67
BENAC IMMOBILIER LAURAGAIS ,1,27
BERTRAND ROY GESTION IMMOBILIERE ET CONSEILS ,1,120
BG & ASSOCIES ,1,16
BOTIN GESTION IMMOBILIERE ,1,20
BOURG GESTION IMMOBILIER ,1,72
AGENCE DE GESTION IMMOBILIERE ET TRANSAC ,1,46
AGEFIM CONSULTANTS SAS ,1,141
CABINET MOUCHE IMMOBILIER ,1,12
COYSEVOX ,1,23
CROIX DU SUD IMMOBILIER ,1,39
D & D REAL ESTATE ,1,10
D.A.A.S. IMMO ,1,65
BASS IMMOBILIER ,1,37
BATIE IMMOBILIER ,1,31
CABINET LEMA IMMOBILIER ,1,26
CABINET LONCHAMP ,1,11
CABINET LOUCEL ,1,49
SOCIETAS ,1,12
SOCIETE ANONYME D'ECONOMIE MIXTE IMMOBILIERE DE LA SAINTONGE ,1,21
SOCIETE ANONYME D'HABITATION A LOYER MODRE TROIS MOULINS HABITAT ,1,46
SOCIETE BALANINE DE GESTION IMMOBILIERE ,1,49
SOCIETE D'ECONOMIE MIXTE DE CONSTRUCTION ET DE RENOVATION DES 4 VALLEES EN ABREGE SEM 4V ,1,10
NOALIS ,1,17
NORMAND'IMMO ,1,35
NOUVELLE DEMEURE SARL ,1,33
BOJAST ,1,148
IMMO GERANCE ,1,15
IMMO PLUS MORILLON ,1,104
IMMOBILIER CENTRAL ,1,27
IMMOBILIER FLANDIN MESSIMY ,1,25
ALTIMMO ,1,12
OLIVIER BRUN IMMOBILIER ,1,20
OLMA IMMOBILIER ,1,444
ONESTA ,1,31
N.P. IMMOBILIER ,1,83
NARDI MASSENA ,1,24
NATIS PROVENCE IMMOBILIER ,1,16
NEUILLY SYNDIC ,1,19
ISAMBERT SAS ,1,29
ISAMBERT SOGEPRIM GESTION ,1,91
IWWO ,1,12
"ANGERS LOIRE TERRITOIRE HABITAT IMMOBILIER, SOCIETE DE COORDINATION ",1,70
ANGLEDROIT. IMMO ,1,9
ANSE IMMO ,1,54
ANSEBIA ,1,22
MG IMMOBILIER ,1,23
SOCIETE MICHEL DENIAU ,1,36
SOCIETE PIERRES AVENIR CONSTRUCTION ,1,38
COPROPRIETES GESTION IMMOBILIERE AZUREENE ,1,19
COPROX'  IMMO ,1,45
COTI IMMOBILIER ,1,65
CABINET MEDIA ,1,282
INTERSERVICES JMD ,1,25
INTRA MUROS INVESTISSEMENTS ,1,54
IMMOBILIERE PATRIMOINE ET FINANCES ,1,120
IMMOBILIERE PETIT ,1,14
IMMOBILIERE SUD EST GESTION ,1,18
DAMONTE IMMOBILIER ,1,8
AGENCE BERRY NIVERNAIS ,1,12
SOCIETE EUROPEENNE DE GESTION IMMOBILIERE ET PATRIMONIALE ,1,6
SOCIETE IMMOBILIERE GRAND HAINAUT ,1,26
SOCIETE LOGEVAC ,1,54
MONTAGNE IMMOBILIER ,1,26
MONTVILLE IMMOBILIER ,1,32
MORGAN STACHS CARAIBES ,1,16
MY CONSEIL IMMOBILIER ,1,62
MYSTONE ,1,8
IMMOBILIERE DASTREVIGNE ,1,26
IMMOBILIERE DEJEAN PEPIN ,1,24
IMMOBILIERE G.R.M ,1,37
MCB ASSISTANCE ,1,14
MDB IMMOBILIER ,1,9
MERCANTOUR VESUBIE ,1,49
MERLIN ET ASSOCIES ,1,39
MESENGE IMMOBILIER ,1,117
MESITYS ,1,23
MESOLIA HABITAT ,1,42
MESSIEURS LANGLOIS ET COMPAGNIE ,1,31
ADGI HOME ,1,35
COGERIM ,1,61
COGESIM ,1,18
COGEVA PM ,1,30
COLBERT IMMOBILIER ,1,16
COMPAGNIE DE GESTION IMMOBILIERE DU GOLFE JUAN VALLAURIS ,1,66
CONSEIL RICHOU IMMOBILIER ,1,103
JUNEGE ,1,12
CABINET MERABET-KERVELLA ,1,49
CABINET MERMOZ ,1,27
SOLEIL D'AZUR IMMOBILIER ,1,36
SOLGIM CABINET AGRET ,1,137
SOLIHA AGENCE IMMOBILIERE SOCIALE ,1,10
SOLUTION IMMO ,1,56
SQUARE HABITAT AUXERRE ,1,55
ADES'IMMO ,1,157
MHD IMMO ,1,130
MIRESI IMMOBILIER ,1,29
IMMOBILIERECENTRE ,1,10
IMMOGIM ,1,14
IMMOPRO 66 ,1,9
AZUREFI ,1,100
BAILIMMO ,1,8
BAPIMMO SYNDIC ,1,44
CABINET RAYMOND ET ASSOCIES ,1,8
AUKLER IMMOBILIER ,1,7
AUXILIAIRE DE FINANCES ET D IMMOBILIER ,1,11
MALESHERBES GESTION ,1,41
MARIE DEMOY IMMOBILIER ,1,8
JC IMMO GESTION ,1,26
JC IMMOBILIER ,1,27
JDG IMMO ,1,55
ADVENIS PROPERTY MANAGEMENT ,1,41
AF GESTION CONFLUENCE ,1,69
SQUARE HABITAT GESTION SUD RHONE-ALPES ,1,77
ST CLEMENT IMMO ,1,10
STELLASYNDIC ,1,14
CABINET PG LANCE ET COMPAGNIE ,1,86
CABINET PIERRE PLISSON ,1,77
CABINET POINTE IMMOBILIER ,1,35
IMODAM ,1,129
IMONIA ,1,10
IMPACT IMMOBILIER SYNDIC ,1,10
CONSTANTIN-BERTIN JULLIARD IMMOBILIERS ,1,7
ADMINISTRA ,1,8
ADMINISTRATION D'IMMEUBLES PITANCE ,1,105
ADMINISTRATION DE BIEN ET INVESTISSEMENT IMMOBILIER ,1,63
ADOPTEZ UN BIEN ,1,21
ALTITUDE IMMOBILIER ,1,68
ALTURA IMMOBILIER ,1,10
AMARYM LE SYNDIC ,1,70
AMGI SYNDIC ,1,127
BATIM-GESTION IMMOBILIERE ,1,16
BAUDRIER IMMOBILIER ,1,26
BEL'SYNDIC                                              LE SYNDIC EN TOUTE TRANSPARENCE ,1,48
IMMOZON ,1,21
ARPENTERRE ,1,40
ASE IMMOBILIER ,1,147
LOIRE INVESTISSEMENT ,1,28
LP IMMO ,1,14
JW GESTION ,1,18
KMI ,1,9
L IMMOBILIER NOUVEAU ,1,9
ASSOCIES CONSEILS IMMOBILIER ,1,38
L'IMMOBILIERE DE VIGNEUX ,1,44
L'IMMOBILIERE DES GAVES ,1,20
L'IMMOBILIERE DES VICTOIRES ,1,52
L'IMMOBILIERE FOCH ,1,79
ARBIZON IMMOBILIER ,1,141
ARBRESLOISE DE LOCATION ,1,20
ARCHIGESTIM ,1,130
ARCURE INVESTISSEMENT ET PATRIMOINE ,1,9
SUPER SYNDIC ,1,10
SYNDIC A&B ,1,12
SYNDIC BR & CONSEILS ,1,43
SYNDIC DU COMTE D'AIX ,1,10
SYNDIC GESTION ACTIVE ,1,32
CABINET SAINT GERMAIN ,1,26
CABINET TRINQUET ,1,13
CABINET VAN EECKE ,1,10
JDM INVEST ,1,53
JHTIMMO ,1,25
JOBARD IMMOBILIER PATRIMOINE ,1,77
JOYEUSE IMMOBILIER ,1,7
JULES PIERRAT ADMINISTRATEUR JUDICIAIRE PAR ABREVIATION JPAJ ,1,19
CJM ,1,14
CLAVIERE IMMOBILIER ,1,19
SUD GESTION IMMO ,1,22
TIBI ,1,18
TRANQUILLIS IMMO ,1,6
TRESTEL IMMOBILIER ,1,16
CGA ,1,13
CGCI CENTRE DE GESTION ET CONSEILS IMMOBILIERS ,1,116
CHARPENTIER SYNDIC ,1,35
VILLEZ IMMOBILIER ,1,69
ABEL GESTION ,1,15
LA RESILIENCE IMMOBILIERE ,1,65
CDJ21 ,1,28
CITYA CHERBOURG ,1,334
CITYA DALBERA ,1,41
CITYA GALLIENI ,1,22
ACTION IMMOBILIERE ,1,60
ACTISYNDIC ,1,46
AD CONSEILS ,1,24
LEMAIRE IMMOBILIER ,1,24
LERMS ,1,97
LES DAMIERS D'ANNECY ,1,66
LA CROIX DE SAVOIE ,1,14
LA DOMANIALE ,1,26
LA MISSION IMMOBILIERE ,1,26
LA PHOCEENNE DE PRESTATIONS IMMOBILIERES ,1,107
LA PIERRE BRIARDE ,1,12
LANCELOT ,1,22
LE CLAINCHE*MAURICE PAUL/ ,1,13
LE GREVELLEC IMMOBILIER ,1,23
LE KALLISTE ,1,183
LE LOCATIF 14 ,1,91
LE SYNDIC TOURANGEAU ,1,23
LEDUC IMMOBILIER ,1,44
LEGENDRE*PHILIPPE/ ,1,9
FONCIA SAINT ANDRE ,1,39
FONCIA VAL DE SEINE ,1,272
FONCIA VIEUX PORT ,1,29
FONCIA ZAMBONI PORTES ,1,116
FONTAN IMMOBILIER ,1,8
CABINET BRUN IMMOBILIER ,1,59
CABINET CENTRAL GESTION ,1,24
CABINET CHAMORAND ,1,202
VALERIE IMMOBILIER ,1,39
A2MB IMMOBILIER ,1,8
A.F DE PORTU IMMOBILIER ,1,24
VIANOVA PARIS EST ,1,23
REW IMMOBILIER ,1,82
RI SYNDIC ,1,22
RIVIERA COPRO ,1,64
RIVIERA IMMO ,1,117
CHRISTOPHE JAY IMMOBILIER ,1,42
TULIER*FLORENCE/ ,1,9
V & V ASSOCIES ,1,28
V.I.P.E. GESTION ,1,8
V2Z ,1,9
VA BENE IMMOBILIER ,1,30
VALBERG AGENCE ,1,20
VALCROS IMMOBILIER ,1,6
ABI AGENCE BOVE IMMOBILIER ,1,35
ABRIMYEL ,1,11
ACCEL ,1,9
VALORIM GESTION ,1,125
VANOISE IMMOBILIER EUROPEAN ,1,31
VERNAY IMMOBILIER ,1,8
CHERIF*HALFAOUI/AMAL FARAH / ,1,19
CHOIX.IMMO ,1,96
