nom_syndic,nb_immeubles_cibles,total_places_parking
REGIE JANIN ET CIE ,23,1268
CABINET DOUSSON IMMOBILIER ,23,1260
SEM DE CONSTRUCTION DU DPT DE L AIN ,23,956
AGENCE HYBORD ,23,745
AGENCE DE GESTION IMMOBILIERE ,23,1178
FONCIA VAL DE MARNE ,23,1746
IMMOBILIERE EUROPEENNE DE GESTION ,23,764
IMMOBILIER YVES PASSAGA ,23,841
GROUPE OUEST ,23,1446
GESTION IMMOBILIERE DU VAL D'ABONDANCE ,23,945
C.I.S. IMMOBILIER ,23,778
IMMO CONSEIL ,23,1887
SXI-FOURS IMMO ,23,927
TIFFENCOGE ,23,1712
CANTIN IMMOBILIER ,23,1706
TESSERIM ,23,1061
TOURDIAT GESTION ,22,1202
PLURIAL NOVILIA ,22,1519
GOLF GESTION ,22,1737
GIGNOUX LEMAIRE SA ,22,1525
IDI SYNDIC ,22,1069
ADL SYNDIC ,22,759
CITYA SAINT PIERRE ,22,829
PROACT'IMM ,22,1482
SAGI-TER ,22,1499
CITYA IMMOBILIER LABROUSSE ,22,562
ALIZES IMMOBILIER ,22,1029
CITYA CARTIER ,22,1764
COGECOOP ,22,1752
CITYA THERMES ATHENA ,22,1015
CABINET CAZALIERES ,22,1770
REGIE PEDRINI ,22,1211
AGENCE MODERNE REMOISE ,22,1068
FONCIA BOUVET BONNAMOUR ,22,1590
ASL IMMOBILIER ,22,1805
SAVOIE IMMO LAC ,22,1255
SEQENS SOCIETE ANONYME D'HABITATIONS A LOYER MODERE ,22,1293
BERTIN AJP CHARENTE MARITIME ,22,962
BELSIM ,22,717
CENTRAL GEST ,22,511
VIAGENCE ,22,991
SYNDIC ONE ,22,264
MONDIAL GESTION SARL ,21,2509
CABINET ALBERTINI J & D ,21,684
C.P.R IMMOBILIER ,21,690
MARINE IMMOBILIER ,21,1322
ROMEFORT IMMOBILIER ,21,469
CONCEPT IMMOBILIER HABITAT ,21,891
OPH DE LA METROPOLE DE LYON ,21,599
PROXIMA SYNDIC ,21,709
CABINET BEILLARD ,21,1146
AGENCE PALOMAR ,21,670
CABINET MOREAU ,21,1116
REGIE THIEBAUD SAS ,21,1798
TERRES ET MAISONS GESTION TMG ,21,555
SARL ORLEANS NORD IMMOBILIER ,21,748
BRAS IMMOBILIER MORBIHAN ,21,1443
ADMINISTRATION D'IMMEUBLES R. PAUTET ,21,1133
IMMOPROS ,21,659
GESTION IMMOBILIERE DE L EST ,21,397
BOULENC IMMOBILIER ,21,1660
BRAS IMMOBILIER ATLANTIQUE ,21,910
GILLES AUDRAN IMMOBILIER ,21,1119
CUER IMMOBILIER SYNDIC ,21,816
MERCOR ,21,645
ANTILLES CONSEILS & SYNDIC ,21,1014
ACTIMMOSERVICES B&D ,21,1040
CITYA 3 VALLEES ,21,773
CIF SERVICES ,21,992
CENTRE DE GESTION DE LA COPROPRIETE ,21,1212
THOMAS LIEHR - SYNDIC DE COPROPRIETE ,21,684
REGIE FONCIERE ,21,1168
CABINET DELOMIER ,21,1073
AGENCE IMMOBILIERE ARC-EN-CIEL ,21,1189
BARI ,21,939
